,edad,estatura_(cm),fecha_denuncia,hecho_ocurrido_el,raza,sexo,ubigeo
608,15,1.60,"Jueves, 19 Septiembre, 2019 - 00:00","Miércoles, 18 Septiembre, 2019 - 08:00",TRIGUEÑA,Femenino,Ayacucho
609,11,1.50,"Jueves, 19 Septiembre, 2019 - 00:00","Miércoles, 18 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Callao,Prov. Const. del Callao,Callao"
610,15,1.56,"Sábado, 21 Septiembre, 2019 - 00:00","Miércoles, 18 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Satipo,Río Negro"
611,17,1.54,"Miércoles, 9 Octubre, 2019 - 00:00","Miércoles, 18 Septiembre, 2019 - 00:00",TRIGUEÑA,Femenino,"Lima,Lima,El Agustino"
612,14,1.60,"Miércoles, 18 Septiembre, 2019 - 00:00","Miércoles, 18 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Lurin"
613,11,1.60,"Domingo, 22 Septiembre, 2019 - 00:00","Miércoles, 18 Septiembre, 2019 - 00:00",,Femenino,"Lima,Lima,San Martin de Porres"
614,15,1.62,"Viernes, 20 Septiembre, 2019 - 00:00","Miércoles, 18 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Lima,Lima,San Martin de Porres"
615,15,1.57,"Miércoles, 18 Septiembre, 2019 - 00:00","Miércoles, 18 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Puente Piedra"
616,13,,"Miércoles, 18 Septiembre, 2019 - 14:57","Miércoles, 18 Septiembre, 2019 - 00:00",,Masculino,"Lima,Lima,Ate"
617,15,1.54,"Viernes, 20 Septiembre, 2019 - 00:00","Miércoles, 18 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Pasco,Oxapampa,Palcazu"
618,16,1.45,"Martes, 17 Septiembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 11:00",MESTIZA,Femenino,"Cusco,Cusco,Santiago"
619,15,1.68,"Martes, 17 Septiembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Callao,Prov. Const. del Callao,Callao"
620,15,1.48,"Martes, 17 Septiembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Lurin"
621,16,1.55,"Jueves, 19 Septiembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Huancayo,El Tambo"
622,15,1.62,"Lunes, 16 Septiembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Los olivos"
623,15,1.50,"Viernes, 29 Noviembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Junín,Huancayo,Chilca"
624,14,1.56,"Martes, 17 Septiembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 00:00",BLANCA,Masculino,"Lima,Huarochiri,San Antonio"
625,15,1.55,"Miércoles, 18 Septiembre, 2019 - 00:00","Martes, 17 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,Ate"
